,Team,Nationality,Position,Age,Potential,Name
96,Inter,Netherlands,Defensor Central,28,Muy Bueno,Stefan de Vrij
97,SL Benfica,Portugal,Mediocampista Derecho|Mediocampista Central,30,Muy Bueno,Pizzi
98,Real Madrid,Spain,Mediocampista Central|Centrocampista Ofensivo Central|Extremo Izquierdo,28,Muy Bueno,Isco
99,RC Celta,Spain,Segundo Delantero|Extremo Derecho,32,Muy Bueno,Iago Aspas
100,Arsenal,Germany,Arquero,28,Muy Bueno,Bernd Leno
101,FC Bayern München,Germany,Mediocampista Derecho|Centrocampista Ofensivo Central|Extremo Derecho,30,Muy Bueno,Thomas Müller
102,FC Bayern München,Brazil,Mediocampista Central|Centrocampista Ofensivo Central|Extremo Izquierdo,28,Muy Bueno,Coutinho
103,Borussia Dortmund,Switzerland,Arquero,29,Muy Bueno,Roman Bürki
104,Guangzhou Evergrande Taobao FC,Brazil,Mediocampista Defensivo Central|Mediocampista Central|Centrocampista Ofensivo Central,32,Muy Bueno,Paulinho
105,RB Leipzig,Hungary,Arquero,30,Muy Bueno,Péter Gulácsi
106,Liverpool,England,Mediocampista Defensivo Central|Mediocampista Central,30,Muy Bueno,Jordan Henderson
107,Liverpool,Netherlands,Mediocampista Defensivo Central|Mediocampista Central,29,Muy Bueno,Georginio Wijnaldum
108,Borussia Dortmund,Belgium,Mediocampista Defensivo Central|Mediocampista Central,31,Muy Bueno,Axel Witsel
109,Real Madrid,Wales,Segundo Delantero|Extremo Derecho|Extremo Izquierdo,31,Muy Bueno,Gareth Bale
110,Tottenham Hotspur,Belgium,Defensor Lateral Izquierdo|Defensor Central,33,Muy Bueno,Jan Vertonghen
111,FC Barcelona,Croatia,Mediocampista Central,32,Muy Bueno,Ivan Rakitic
112,Juventus,Argentina,Segundo Delantero,32,Muy Bueno,Gonzalo Higuaín
113,Manchester City,Brazil,Defensor Central|Mediocampista Defensivo Central,35,Muy Bueno,Fernandinho
114,Milan,Sweden,Segundo Delantero,38,Muy Bueno,Zlatan Ibrahimovic
115,Bayer 04 Leverkusen,Germany,Mediocampista Derecho|Centrocampista Ofensivo Central,21,Sobresaliente,Kai Havertz
116,Manchester United,England,Segundo Delantero|Mediocampista Izquierdo,22,Muy Bueno,Marcus Rashford
117,Inter,Argentina,Segundo Delantero,22,Sobresaliente,Lautaro Martínez
118,Leicester City,Nigeria,Mediocampista Defensivo Central|Mediocampista Central,23,Muy Bueno,Wilfred Ndidi
119,FC Bayern München,France,Defensor Lateral Izquierdo|Defensor Central,24,Muy Bueno,Lucas Hernández
120,FC Bayern München,France,Mediocampista Derecho|Mediocampista Izquierdo|Extremo Izquierdo,24,Muy Bueno,Kingsley Coman
121,FC Porto,Brazil,Defensor Lateral Izquierdo,27,Muy Bueno,Alex Telles
122,Borussia Dortmund,Germany,Mediocampista Izquierdo|Mediocampista Central|Centrocampista Ofensivo Central,24,Muy Bueno,Julian Brandt
123,Leicester City,Portugal,Defensor Lateral Derecho,26,Muy Bueno,Ricardo Pereira
124,Atlético Madrid,Ghana,Mediocampista Defensivo Central|Mediocampista Central,27,Muy Bueno,Thomas Partey
125,FC Bayern München,Germany,Mediocampista Defensivo Central|Mediocampista Central|Centrocampista Ofensivo Central,25,Muy Bueno,Leon Goretzka
126,Atlético Madrid,Brazil,Defensor Central,31,Muy Bueno,Felipe
127,Chelsea,Croatia,Mediocampista Central,26,Muy Bueno,Mateo Kovacic
128,Chelsea,Italy,Mediocampista Defensivo Central|Mediocampista Central,28,Muy Bueno,Jorginho
129,Olympique Lyonnais,Netherlands,Centrocampista Ofensivo Central|Delantero Centro|Extremo Izquierdo,26,Muy Bueno,Memphis Depay
130,Atalanta,Slovenia,Segundo Delantero|Delantero Centro,32,Muy Bueno,Josip Ilicic
131,Napoli,Brazil,Mediocampista Central,29,Muy Bueno,Allan
132,Lazio,Italy,Defensor Central,32,Muy Bueno,Francesco Acerbi
133,Olympique Lyonnais,Portugal,Arquero,29,Muy Bueno,Anthony Lopes
134,AS Monaco Football Club SA,France,Segundo Delantero,29,Muy Bueno,Wissam Ben Yedder
135,Real Madrid,Colombia,Mediocampista Derecho|Mediocampista Central|Centrocampista Ofensivo Central,29,Muy Bueno,James Rodríguez
136,FC Barcelona,Brazil,Arquero,31,Muy Bueno,Neto
137,Paris Saint-Germain,Senegal,Mediocampista Defensivo Central|Mediocampista Central,30,Muy Bueno,Idrissa Gueye
138,Arsenal,France,Segundo Delantero,29,Muy Bueno,Alexandre Lacazette
139,Napoli,Greece,Defensor Central,29,Muy Bueno,Kostas Manolas
140,Juventus,Brazil,Defensor Lateral Izquierdo|Mediocampista Izquierdo,29,Muy Bueno,Alex Sandro
141,Juventus,Brazil,Mediocampista Izquierdo|Extremo Derecho|Extremo Izquierdo,29,Muy Bueno,Douglas Costa
142,Real Betis,Spain,Mediocampista Izquierdo|Mediocampista Central|Centrocampista Ofensivo Central,29,Muy Bueno,Canales
143,Shanghai SIPG FC,Brazil,Mediocampista Central|Centrocampista Ofensivo Central|Extremo Izquierdo,28,Muy Bueno,Oscar
144,Manchester City,Germany,Mediocampista Defensivo Central|Mediocampista Central,29,Muy Bueno,Ilkay Gündogan
145,Napoli,Spain,Mediocampista Derecho|Extremo Derecho,33,Muy Bueno,José Callejón
146,Chelsea,Spain,Defensor Lateral Derecho|Defensor Lateral Izquierdo|Defensor Central,30,Muy Bueno,Azpilicueta
147,FC Barcelona,Chile,Mediocampista Defensivo Central|Mediocampista Central|Centrocampista Ofensivo Central,33,Muy Bueno,Arturo Vidal
